Sexual,Racial,Appearance,Intelligence,Politics,Generic
amateur,abbo,alla,cockbite,anal,assbite
AnalAnnie,abo,big ass,Cockmuncher,anus,asscock
Angie,African Forklift,camel toe,demon,arse,asses
Aroused,Alligator Bait,Chesticles,demonrats,asian,assface
assblaster,arab,cock waffle,dickwad,ass-hat,asshat
ass cowboy,argie,coon,dickwad,assbag,asshole
ass jacker,assnigger,cumslut,asshead,dipshit,babe
AssMan,beaner ,cuntface,assshit,Douche,babe
assranger,Bigger,cuntslut,asswipe,,baby
ass whore,"black ",dickface,Boang,dumbass(idiot),bitchin
Ass-assinate,bohunk,FATASS,bottom-feeder,Failure,blackman
ass-jabber,boong,fuckface,cockhead,FUC,boob
ass-pirate,Bounty bar,lardass,cocksucker,leftist,bra
assbandit,camel jockey,skank,Cocksucker,libtards,breast
assbanger,canadian,,dickbrain,POS,Buggered
assfuck,Canuck,,Dickweed,propaganda,buttface
assfucker,Chinaman,,dink,redneck,clitface
asshopper,chinc,,dipstick,RINO,clitoris
assklown,chink ,,douchebag,scumbag,coitus
asslick,chinky,,DUMB,snowflake,Copulate
asslicker,clog wog,,dumbass,troll,cumquat
asspacker,cocknose,,dumbbitch,towelhead,Dahmer
asspuppy,colored,,dumbfuck,,Dickless
asssucker,Coloured,,fuckhead,,dum ass
backdoor,coolie,,fucktard,,dumb fuck
backdoor man,coolies,,moron,,Eskimo
Bad Fuck,coon,,retard,,ethiopian
Ball licker,cracker,,shitfaced,,fairy 
Balls,cunteyed,,shithead,,Flatulence
banging,dago,,shitspitter,,fuckedup
bastard,darkie,,turd,,fuckin
bastard,darky,,tard,,fuckinnuts
beastiality,ethnic,,wuss,,fuckinright
beaver,FATASS,,,,gay
big butt,filipina,,,,God 
bitch ass,filipino,,,,Indian
bitcher,Fok,,,,jackass
bitchtits,frog,,,,jiggy
bite me,gipsy,,,,munging
Blowjob,gook,,,,negress
blowjob,goy,,,,randy
BOMD,goyim,,,,scrotum
boobies,greaseball,,,,shitface
boobs,gringo,,,,
BOONGA,guido,,,,
brea5t,gypsy,,,,
Breast Job,half-breed,,,,
Breast Man,half-caste,,,,
brothel,haole,,,,
brotherfucker,hapa,,,,
buggery,hebe,,,,
bulldike,heeb,,,,
bulldyke,Hillbilly ,,,,
bumblefuck,hindoo,,,,
bunga,Hodgie,,,,
Bunghole,honkey,,,,
ButchDyke,honky,,,,
butt,hore ,,,,
butt fucker,Injun,,,,
butt pirate,jap,,,,
buttbang,Jerry,,,,
Buttfuck,jiga,,,,
buttfucka,jigaboo,,,,
butthead,jigga,,,,
buttpirate,jijjiboo,,,,
byatch,jimfish,,,,
"carpet muncher ",jock,,,,
cherry popper,junglebunny,,,,
chin,kaffir,,,,
Chode,kafir,,,,
Clam digger,kike,,,,
Clit,kike,,,,
clitfuck,kraut,,,,
cock,kyke,,,,
cock block,makwerekwere,,,,
cock cowboy,mammy,,,,
cock fight,mick,,,,
cock jockey,mooncricket,,,,
Cock knob,mosshead,,,,
Cock Licker,mulatto,,,,
Cock Smoke,mulatto,,,,
cock suck,native,,,,
cock tease,negro,,,,
cockblocker,negro's,,,,
Cockhead,negroes,,,,
cockmaster,negroid,,,,
cockmongler,nig,,,,
cockmuncher,nigaboo,,,,
Cocknugget,niger,,,,
Cockqueen,nigg,,,,
cockrider,nigga,,,,
cocksman,niggah,,,,
cocksmith,niggaz,,,,
cocksmoker,niggers,,,,
cocksniffer,niggor,,,,
cocksucked,niggur,,,,
Cocksucker,niglet,,,,
Cocksucking,nignog,,,,
coochie,nigr,,,,
coochy,nigra,,,,
coondog,nigre,,,,
cornhole,nlgger,,,,
crotchrot,nlggor,,,,
cum,nonwhite,,,,
cum bubble,oriental,,,,
cum guzzler,Paddy,,,,
Cum jockey,pakeha ,,,,
cum tart,paki,,,,
cumdumpster,paki,,,,
cummer,paleface,,,,
cumming,peckerwood,,,,
Cumqueen,picaninny,,,,
cumshot,pickaninny,,,,
cunilingus,pocho,,,,
cunnilingus,pocohantas,,,,
cunt ,pohm,,,,
cunt rag,Polack,,,,
Cuntass,pollock,,,,
cuntfuck,pommy,,,,
cuntfucker,poor white trash,,,,
cunthole,porch monkey ,,,,
cuntlick,porchmonkey,,,,
cuntlicker,porchmonkey,,,,
cuntlicking,primitive,,,,
deepthroat ,Pygmy,,,,
destroy,racist,,,,
dick beaters,raghead,,,,
Dick for brains,Red Indian,,,,
Dick Licker ,redskin,,,,
dick weasel,ruski,,,,
dick wod,sandnigger,,,,
Dickbag,savage,,,,
Dickfuck,seppo,,,,
dickfucker,slant eye,,,,
dicklick,snownigger,,,,
dickman,spade,,,,
dickmonger,spaghettibender,,,,
dickslap,spaghettinigger,,,,
dicksucker,spic,,,,
dicksucking,spick,,,,
dicktickler,spook,,,,
dipstick,squaw,,,,
Dix,Taffy,,,,
doggystyle,timbernigger,,,,
dyke,trailertrash,,,,
eat me,Uncle Tom,,,,
eat pussy,WASP,,,,
Ejaculate,waspy,,,,
ejaculating,wetback,,,,
enema,whigger,,,,
erection,white trash,,,,
escort,whitenigger,,,,
Fagfucker,whitey,,,,
faggot,wog,,,,
fagot,wop,,,,
fanny fucker,Yank,,,,
fastfuck,Yankee,,,,
fear,yellowman,,,,
felatio,yid,,,,
Felch,zigabo,,,,
felcher,zipperhead,,,,
felching,,,,,
fellatio,,,,,
Feltcher,,,,,
feltching,,,,,
finger fuck,,,,,
finger fucker,,,,,
fingerfuckers,,,,,
fingerfucking,,,,,
fist fuck,,,,,
fist fucked,,,,,
fistfucker,,,,,
fistfucking,,,,,
fisting,,,,,
Flange,,,,,
foot fuck,,,,,
footfucker,,,,,
Foursome,,,,,
free fuck,,,,,
fu,,,,,
fuck,,,,,
fuck,,,,,
fucka,,,,,
fuckable,,,,,
fuckass,,,,,
fuckbag,,,,,
fuckboy,,,,,
fuckbrain,,,,,
fuckbuddy,,,,,
fucked,,,,,
fucker,,,,,
fuckers,,,,,
fuckersucker,,,,,
fuckface,,,,,
fuckfest,,,,,
fuckfreak,,,,,
fuckfriend,,,,,
fuckhead,,,,,
fuckher,,,,,
fuckina,,,,,
fucking,,,,,
fuckingbitch,,,,,
fuckit,,,,,
fuckknob,,,,,
fuckme,,,,,
fuckmehard,,,,,
fuckmonkey,,,,,
fuckpig,,,,,
fucktard,,,,,
